Title,Location,Date,Time
DATA_AND_AI_COMMUNITY_DAY_JOBURG_APRIL_2024,Microsoft Bryanston,2024-04-20,06:00:00
Discover_Herbalife_and_Getting_Started,Stanza Bopape Street 1217_Hatfield_0028_Pretoria_Gauteng_South Africa,2024-04-20,08:00:00
Sourdough_Baking_Workshop,6 Myburgh Laan_7287_L'Agulhas_Western Cape_South Africa,2024-04-20,07:30:00
Finding_Your_Power,FiftyKnots ,2024-04-20,08:00:00
Herbalism:_A_Practical_Guide_to_Pregnancy_and_Baby_Care,Hopeville Street 17_Gardens_8001_Cape Town_Western Cape_South Africa,2024-04-20,09:00:00
Fynbos_and_Fragrance_Scent_Tour,Constantia Greenbelt (Exact location confirmed via email before event),2024-04-20,08:00:00
Massage_Exchange_(men_only)_-__20_April_2024,224 Carinus Street_Meyerspark_0103_Pretoria_Gauteng_South Africa,2024-04-20,07:00:00
'EVITA@88'_-_20_April_2024,Arcadia Street 8_7345_Darling_Western Cape_South Africa,2024-04-20,10:00:00
Bow_instrument_making,Brounger Road _Sillery_7806_Cape Town_Western Cape_South Africa,2024-04-20,09:00:00
Source_to_Sea_fundraiser_walks_for_FOSNA,Silvermine River_Cape Town_Western Cape_South Africa,2024-04-09,06:00:00
HOW_TO_MAKE_MONEY_WITH_PROPERTY_20/04,Techno Avenue R44_7600_Stellenbosch_Western Cape_South Africa,2024-04-20,08:00:00
MADE_Creative_Workshops_at_Watershed_:_Ceramics,Dock Road 17_Victoria & Alfred Waterfront_8002_Cape Town_Western Cape_South Africa,2024-04-20,10:00:00
Fantasy_Play,Kotze Street 11_2017_Johannesburg_Gauteng_South Africa,2024-04-20,07:30:00
Barefoot_Leather_Shoe_Workshop_-_Greyton,Park Street 36_7233_Greyton_Western Cape_South Africa,2024-04-20,08:00:00
Introduction_to_Vision_Boarding_Workshop,Bryanston Ext 3,2024-04-20,07:00:00
DISCOVER_HERBALIFE_-_BBS_-__20th_APRIL_-_2024__ROYAL_NATAL_YACHT_CLUB,Yacht Mole Durban_Harbour_Durban_4001_4001_Durban_KwaZulu-Natal_South Africa,2024-04-20,07:45:00
East_London_Herbalife_BBS_and_Customer_Celebration_Day_@Buffs_Club_20th_April2024,1 Buffalo Park Drive_Quigney_5201_East London_Eastern Cape_South Africa,2024-04-20,07:00:00
DISCOVER_HERBALIFE_-_PORT_ELIZABETH_20_APRIL_2024,Corner La Roche Drive & Beach Road_Humewood_6001_Port Elizabeth_Eastern Cape_South Africa,2024-04-20,07:30:00
A_Touch_of_Drumming,Nuttall Road 12_Observatory_7925_Cape Town_Western Cape_South Africa,2024-04-20,11:00:00
STELLENBOSCH_UNIVERSITY_ON-CAMPUS_OPEN_DAY_2024,Stellenbosch Central_Stellenbosch_Stellenbosch_Western Cape_South Africa,2024-04-20,06:00:00
Health_&_Wealth_Conference,Atholl Oaklands Rd & Kernick Ave_Melrose North_Johannesburg_2196_2196_Johannesburg_Gauteng_South Africa,2024-04-20,09:00:00
Single_Ladies__Luxury_Day_Retreat,Helen Road 160_2031_Sandton_Gauteng_South Africa,2024-04-20,07:00:00
Blazey_Brunch_at_KAYA_Café,Loop Street 35_Cape Town City Centre_8001_Cape Town_Western Cape_South Africa,2024-04-20,09:00:00
NARS_Masterclass_V&A_Waterfront_Ground_Floor_Centre_Court,V&A Waterfront Ground Floor Centre Court (Outside H&M),2024-04-19,08:00:00
Free_Introductory_Property_Workshop_-_20_April_2024,Voortrekker Avenue 27_1609_Edenvale_Gauteng_South Africa,2024-04-20,07:30:00
Paul_Roos_Gymnasium_Rugby_season_tickets_&_Paarl_Boys'_High_individual_tickets,Koch Road _7600_Stellenbosch_Western Cape_South Africa,2024-04-20,05:00:00
Fluence_Africa_Influencer_Festival,Empire Road 16_Parktown_2193_Johannesburg_Gauteng_South Africa,2024-04-20,07:00:00
"""The_Unexpected_Things""_Book_Launch",20A 7th Avenue _Parktown North_Randburg _2193_Johannesburg_Gauteng_South Africa,2024-04-20,12:00:00
"Slow_Fashion_Festival_|_20_April_|_44_Stanley_Avenue,_Johannesburg",Stanley Avenue 44_2092_Johannesburg_Gauteng_South Africa,2024-04-20,08:00:00
Somerset-West_Make-Up_Workshop_(20_April_2024),Prospect Avenue _Bene_7130_Cape Town_Western Cape_South Africa,2024-04-20,07:30:00
How_to_make_a_Hexagon_Shelf,Corner blackrock street and stoneridge drive_Greenstone Park Ext 2_Edenvale_Gauteng 1610 South Africa_1610_edenvale _South Africa,2024-04-04,07:00:00
Saxonwold_-_Grace_and_Grandeur_14h00,Oxford Road 40_2193_Johannesburg_Gauteng_South Africa,2024-04-20,12:00:00
Water's_Tale,Erin Road 8_Rondebosch_7700_Cape Town_Western Cape_South Africa,2024-04-20,12:00:00
The_Mule_Workshop_series,Nuwe Hoop Street 58_0161_Pretoria_Gauteng_South Africa,2024-04-20,07:00:00
Fish_Hoek_High_School_Variety_Concert_Matinee_Show,13th Avenue _7974_Cape Town_Western Cape_South Africa,2024-04-20,12:00:00
NWU_16_Skolesportreeks__Finaal,Loop Street 37_2531_Potchefstroom_North West_South Africa,2024-04-20,06:00:00
RegenAgSA_Smallholder_Regenerative_Grazing_&_Growing_Day,"Andre Grobler's Farm, Cullinan ",2024-04-20,06:00:00
How_to_make_a_Coffee_Table__Fanie(R650),Roos Street 35_2068_Sandton_Gauteng_South Africa,2024-04-04,07:00:00
The_Playground-_Paint_&_Sip_April_|_20th,Juta Street 73_2017_Johannesburg_Gauteng_South Africa,2024-04-20,10:30:00
How_to_use_power_tools,146 North Rand Road _1459_Boksburg_Gauteng_South Africa,2024-04-20,12:00:00
Art_Meets_Fashion,19 Keyes Avenue_Rosebank_First Floor_Gallery 2_2196_Johannesburg_Gauteng_South Africa,2024-04-20,12:00:00
Music_Lovers,Thomson Street 53_0153_Pretoria_Gauteng_South Africa,2024-04-20,13:00:00
Festival_of_Fire_2024,Van Schoorsdrif Road _Philadelphia_7439_Cape Town_Western Cape_South Africa,2024-04-20,08:00:00
CARES_-_Pelican_Park_Talent_Search_Concert,11th Ave & Buck Rd_Pelikan Park_Cape Town_7941_Pelikan Park_7941_Cape Town_Western Cape_South Africa,2024-04-20,13:00:00
George_Beer_Mile,George_6529_6529_George_Western Cape_South Africa,2024-04-20,12:00:00
PuffDaddy_Lounge_420_Bash,Wroxham Road 127b_2191_Sandton_Gauteng_South Africa,2024-04-20,08:00:00
Shibari_Rope_Jam_|_Weekend_Beginner_Taster,Voortrekker Road 100_Salt River_7925_Cape Town_Western Cape_South Africa,2024-04-20,14:00:00
The_Wild_Fig_Wine_Festival,Liesbeek Avenue _Observatory_7925_Cape Town_Western Cape_South Africa,2024-04-20,12:00:00
Cheers021_x_Infusion_420_Canna-Olympics,Vrede Street _7551_Cape Town_Western Cape_South Africa,2024-04-20,12:00:00
Cheers021_420_FIFA_Tournament,Raglan Street 8_Boston_7530_Cape Town_Western Cape_South Africa,2024-04-20,12:00:00
Doorways_to_an_Integrative_and_Intuitive_Healing_Level_2_Training,Willow Road 19_Belle Constantia_7806_Cape Town_Western Cape_South Africa,2024-04-19,14:00:00
Living_Fully_Alive,Lagoon Beach Drive 1_Lagoon Beach_7405_Cape Town_Wes-Kaap_South Africa,2024-04-20,07:00:00
Cheers021_PuffnPaint_420_Edition_20_April,Main Road 148_Sea Point_8005_Cape Town_Western Cape_South Africa,2024-04-20,12:00:00
Limitless_2024,17 Philips Ave_Discovery_1709_Roodepoort_Gauteng_South Africa,2024-04-19,17:00:00
Rooftop_Basketball_Court_Experience_(20th_April)_,Juta Street 73_2017_Johannesburg_Gauteng_South Africa,2024-04-20,09:00:00
Elements_of_Movement_10_Year_Anniversary_Show,Roodepoort Civic Theatre,2024-04-20,15:00:00
Meerendal_Full_Moon_Hike,Vissershok Road _Durbanville_7550_Cape Town_Western Cape_South Africa,2024-04-20,16:30:00
"Spontaneous_Encounters_""Vaal""",Gospel Fire Family Church,2024-04-20,13:00:00
Sundowner_Concert_2024,11 Sans Souci Road _2193_Johannesburg_Gauteng_South Africa,2024-04-20,15:00:00
Heatseekers_Con_2024,Stanley Avenue 44_2092_Johannesburg_Gauteng_South Africa,2024-04-20,09:00:00
Ann_Jangle_&_Nish_Pillay_Live_at_The_Sound_Garden,Kommetjie Road _Kommetjie_7975_Cape Town_Western Cape_South Africa,2024-04-20,16:00:00
The_City_Beach_Club_|_Play_Braam_(20th_April)_,Juta Street 68_2017_Johannesburg_Gauteng_South Africa,2024-04-20,09:00:00
Coolungile_Free_Concert,Welbevind Way 1_7806_Cape Town_Western Cape_South Africa,2024-04-20,16:00:00
Collegium_Musicum_High_Schools,Fiskaal Street 30_1619_Kempton Park_Gauteng_South Africa,2024-04-20,16:30:00
Night_at_the_Movies,El Shaddai Christian School_6 Langeberg Road_Durbanville_Cape Town_7551_Cape Town_Western Cape_South Africa,2024-04-20,16:30:00
#XLR8LIVE:_ONE_YEAR_CELEBRATIONS,Tennyson Street 70_5201_East London_Eastern Cape_South Africa,2024-04-20,16:00:00
Fish_Hoek_High_School_Variety_Concert,13th Avenue _7974_Cape Town_Western Cape_South Africa,2024-04-18,16:00:00
SOUTH_AFRICAN_FASHION_WEEK_SPRING/SUMMER_2024,Magwa Crescent _1685_Midrand_Gauteng_South Africa,2024-04-18,16:30:00
Cape_Town_Wine_Club_:_Red_Blends_Masterclass,Deer Park Drive 2_Vredehoek_8001_Cape Town_Western Cape_South Africa,2024-04-20,15:30:00
A_High_Note_-_Elevated_Long_Table,Far East Bank_Sandton_2014_2014_Sandton_Gauteng_South Africa,2024-04-20,10:00:00
Paulo_y_Mana_-_Brazilian_Style_@_St_Francis_Brewery,Saint Francis Drive 171_6312_Saint Francis Bay_Eastern Cape_South Africa,2024-04-20,17:00:00
GETiKT_&_UMTSHOTSHO_Cape_Town_RoofTop_Party,No. 6_Silo_Silo Square_Victoria & Alfred Waterfront_Cape Town_8001_Victoria & Alfred Waterfront_8001_Cape Town_Western Cape_South Africa,2024-04-20,13:00:00
Coming_of_Age,Mendi Road 135_New Brighton_6200_Gqeberha_Eastern Cape_South Africa,2024-04-20,16:00:00
Bon_Jovi_Tribute_by_Mark_Haze_&_Band_|_Kapstadt_Brauhaus_Steenberg,Reddam Avenue _Westlake_7945_Cape Town_Western Cape_South Africa,2024-04-20,18:00:00
Rewind,4th St & 8th Ave_Edenvale_1609_Enter parking in 3rd Street_1609_Edenvale_Gauteng_South Africa,2024-04-05,17:30:00
Alles_Tot_Nou_-_The_Pink_Room_at_Gorgeous_George,118 St Georges Mall_Cape Town City Centre_Cape Town_8000 _Western Cape,2024-04-20,17:30:00
Yoav_&_Jabulile_Majola,Chapmans Peak Dr _Noordhoek_7979_Cape Town_Western Cape_South Africa,2024-04-20,16:00:00
